"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"heart_attack",0.66,0.0842,1.07,0.7921
"coronary_heart_disease",1.45,0.154,1.64,0.1144
"stroke",1.76,0.081,1.49,0.2363
"asthma",1.4,0.0729,1.9,0
"skin_cancer",1.3,0.099,1.71,0.002
"other_cancer",1.16,0.3605,1.38,0.0909
"copd",1.66,0.0196,2.4,0
"depressive_disorder",1.64,0.0028,3.42,0
"kidney_disease",1.54,0.1152,1.65,0.081
"diabetes_bin",1.12,0.3607,1.28,0.1033
"arthritis",1.11,0.187,1.5,0
"bmi_above_25",0.96,0.3605,0.93,0.1091
"fair_or_poor_general_health",1.11,0.3221,1.46,4e-04
"i4_days_poor_physical_health",1.21,0.187,1.99,0
"i4_days_poor_mental_health",1.46,0.0729,3.02,0
"current_smoker",1.28,8e-04,1.6,0
"heavy_drinker",1.08,0.617,1.3,0.1033
