"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"heart_attack",0.82,0.2894,1.12,0.6442
"coronary_heart_disease",0.97,0.9265,1.36,0.1972
"stroke",1.27,0.3026,1.9,0.0073
"asthma",1.3,0.0128,1.84,0
"skin_cancer",1.08,0.485,0.99,0.94
"other_cancer",1.18,0.2563,1.46,0.0114
"copd",0.96,0.8842,2.06,3e-04
"depressive_disorder",1.61,0,2.7,0
"kidney_disease",1.63,0.0315,1.75,0.036
"diabetes_bin",1.01,0.94,1.15,0.2976
"arthritis",1.1,0.168,1.54,0
"bmi_above_25",1.1,0.0021,1.15,0
"fair_or_poor_general_health",1.1,0.4939,1.91,0
"i4_days_poor_physical_health",1.31,0.057,2.21,0
"i4_days_poor_mental_health",1.38,0.0104,2.63,0
"current_smoker",1.33,3e-04,2.33,0
"heavy_drinker",1.45,0.0079,2.31,0
