"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"heart_attack",0.91,0.7336,1.31,0.2928
"coronary_heart_disease",1.43,0.1348,1.45,0.1835
"stroke",1.23,0.5401,1.8,0.0574
"asthma",1.5,0.0374,1.49,0.044
"skin_cancer",1.35,0.1207,1.3,0.2785
"other_cancer",0.96,0.8646,1.51,0.0804
"copd",2.06,0,2.59,0
"depressive_disorder",1.98,0,2.83,0
"kidney_disease",0.95,0.8709,2.01,0.0395
"diabetes_bin",1.06,0.7336,1.19,0.3423
"arthritis",1.43,0,1.55,0
"bmi_above_25",1.07,0.1835,1.11,0.044
"fair_or_poor_general_health",1.26,0.0863,1.68,0
"i4_days_poor_physical_health",1.41,0.044,1.63,0.0015
"i4_days_poor_mental_health",1.99,3e-04,3.41,0
"current_smoker",1.15,0.0694,1.51,0
"heavy_drinker",1.25,0.2128,1.47,0.0536
