"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"Heart Attack",0.71,"0.485",1.16,"0.824"
"Coronary Heart Disease",0.68,"0.485",1.48,"0.617"
"Stroke",1.16,"0.824",1.04,"0.979"
"Asthma",2.89,"<0.001",3.72,"<0.001"
"Skin Cancer",11.5,"0.018",15.27,"0.005"
"Other Cancer",2.29,"0.099",3.35,"0.033"
"COPD",3.02,"0.018",3.22,"0.018"
"Depressive Disorder",2.58,"<0.001",8.02,"<0.001"
"Kidney Disease",1.41,"0.517",1.01,"0.994"
"Diabetes",1.41,"0.208",1.24,"0.628"
"Arthritis",1.5,"0.135",1.99,"0.02"
"BMI Above 25",1.18,"0.311",1.5,"0.031"
"Fair or Poor General Health",1.81,"0.024",2.72,"<0.001"
"14+ Days Poor Physical Health",1.22,"0.617",2.28,"0.018"
"14+ Days Poor Mental Health",2.4,"0.003",5.05,"<0.001"
"Current Smoker",1.28,"0.226",2.81,"<0.001"
"Heavy Drinker",1.26,"0.397",1.57,"0.126"
