"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"Heart Attack",1.14,"0.686",1.85,"0.021"
"Coronary Heart Disease",0.88,"0.686",2.04,"0.024"
"Stroke",1.07,"0.828",1.72,"0.121"
"Asthma",1.46,"0.015",2.3,"<0.001"
"Skin Cancer",1.41,"0.454",1.27,"0.614"
"Other Cancer",0.9,"0.686",1.64,"0.036"
"COPD",1.32,"0.37",2.66,"<0.001"
"Depressive Disorder",1.94,"<0.001",5.69,"<0.001"
"Kidney Disease",1.78,"0.023",1.74,"0.023"
"Diabetes",0.96,"0.768",1.14,"0.454"
"Arthritis",1.2,"0.24",2.4,"<0.001"
"BMI Above 25",0.91,"0.464",1.05,"0.692"
"Fair or Poor General Health",1.16,"0.24",1.84,"<0.001"
"14+ Days Poor Physical Health",1.15,"0.45",2.1,"<0.001"
"14+ Days Poor Mental Health",1.43,"0.044",4.27,"<0.001"
"Current Smoker",1.58,"<0.001",2.78,"<0.001"
"Heavy Drinker",1.21,"0.178",2.06,"<0.001"
