"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"Heart Attack",1.06,"0.123",1.35,"<0.001"
"Coronary Heart Disease",1.15,"<0.001",1.54,"<0.001"
"Stroke",1.11,"0.027",1.46,"<0.001"
"Asthma",1.26,"<0.001",1.81,"<0.001"
"Skin Cancer",1.05,"0.109",1.08,"0.046"
"Other Cancer",1.05,"0.098",1.22,"<0.001"
"COPD",1.42,"<0.001",2.44,"<0.001"
"Depressive Disorder",1.95,"<0.001",4.26,"<0.001"
"Kidney Disease",1.21,"<0.001",1.51,"<0.001"
"Diabetes",1.04,"0.123",1.23,"<0.001"
"Arthritis",1.25,"<0.001",1.84,"<0.001"
"BMI Above 25",1.07,"0.003",1.2,"<0.001"
"Fair or Poor General Health",1.31,"<0.001",2.23,"<0.001"
"14+ Days Poor Physical Health",1.29,"<0.001",2.12,"<0.001"
"14+ Days Poor Mental Health",1.68,"<0.001",3.54,"<0.001"
"Current Smoker",1.48,"<0.001",2.48,"<0.001"
"Heavy Drinker",1.31,"<0.001",1.48,"<0.001"
