"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"Heart Attack",1.18,"0.342",1.58,"0.009"
"Coronary Heart Disease",1.21,"0.281",2.1,"<0.001"
"Stroke",1.3,"0.052",1.63,"0.001"
"Asthma",1.11,"0.325",1.9,"<0.001"
"Skin Cancer",0.9,"0.732",1.06,"0.866"
"Other Cancer",1.14,"0.291",1.3,"0.054"
"COPD",1.49,"0.002",2.24,"<0.001"
"Depressive Disorder",1.66,"<0.001",4.2,"<0.001"
"Kidney Disease",1.34,"0.056",1.46,"0.035"
"Diabetes",1.13,"0.19",1.1,"0.346"
"Arthritis",1.06,"0.471",1.58,"<0.001"
"BMI Above 25",0.96,"0.644",1.05,"0.639"
"Fair or Poor General Health",1.36,"0.001",1.99,"<0.001"
"14+ Days Poor Physical Health",1.14,"0.346",1.59,"<0.001"
"14+ Days Poor Mental Health",1.19,"0.136",2.82,"<0.001"
"Current Smoker",1.5,"<0.001",2.49,"<0.001"
"Heavy Drinker",1.46,"<0.001",2.43,"<0.001"
