"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"Heart Attack",1.68,0.164,2.47,"0.004"
"Coronary Heart Disease",1.93,0.136,3.15,"0.002"
"Stroke",1.12,0.78,3.26,"<0.001"
"Asthma",1.4,0.258,2.72,"<0.001"
"Skin Cancer",0.93,0.864,0.6,"0.279"
"Other Cancer",0.94,0.864,1.74,"0.08"
"COPD",1.42,0.454,2.76,"0.048"
"Depressive Disorder",1.55,0.164,4.39,"<0.001"
"Kidney Disease",1.44,0.35,2.23,"0.048"
"Diabetes",1.5,0.124,1.44,"0.12"
"Arthritis",1.3,0.291,2.12,"0.002"
"BMI Above 25",1.2,0.47,1.33,"0.268"
"Fair or Poor General Health",1.11,0.689,1.68,"0.027"
"14+ Days Poor Physical Health",1.7,0.086,2.99,"<0.001"
"14+ Days Poor Mental Health",1.7,0.164,3.73,"<0.001"
"Current Smoker",1.6,0.048,2.93,"<0.001"
"Heavy Drinker",1.89,0.048,1.88,"0.048"
