"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"heart_attack",1.03,0.8523,1.41,0.1496
"coronary_heart_disease",1.14,0.3952,1.59,0.0055
"stroke",1.19,0.346,1.55,0.0506
"asthma",1.28,0.0612,1.57,6e-04
"skin_cancer",0.97,0.7824,1.17,0.2757
"other_cancer",1.19,0.1227,1.26,0.0873
"copd",1.14,0.3482,1.92,0
"depressive_disorder",1.65,0,2.81,0
"kidney_disease",1.2,0.3009,1.46,0.1046
"diabetes_bin",1.1,0.3009,1.22,0.0603
"arthritis",1.11,0.0873,1.39,0
"bmi_above_25",1.02,0.4799,1.06,0.0603
"fair_or_poor_general_health",1.45,0,2,0
"i4_days_poor_physical_health",1.36,0.0061,2.08,0
"i4_days_poor_mental_health",1.5,0.0037,2.56,0
"current_smoker",1.24,0,1.6,0
"heavy_drinker",1.14,0.3009,1.38,0.0097
