"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"heart_attack",1.05,0.8712,1.18,0.4245
"coronary_heart_disease",1.24,0.3381,1.47,0.0824
"stroke",0.96,0.8821,1.31,0.2516
"asthma",1.12,0.4038,1.58,0
"skin_cancer",0.98,0.898,0.97,0.8821
"other_cancer",1.19,0.2282,1.13,0.4269
"copd",1.16,0.3805,1.69,0
"depressive_disorder",1.62,0,2.62,0
"kidney_disease",1.56,0.0404,2.05,5e-04
"diabetes_bin",1.03,0.8821,1.13,0.3149
"arthritis",1.27,0,1.5,0
"bmi_above_25",1,0.9256,1.03,0.4269
"fair_or_poor_general_health",1.36,3e-04,1.58,0
"i4_days_poor_physical_health",1.2,0.1513,1.58,0
"i4_days_poor_mental_health",1.54,0.0012,2.77,0
"current_smoker",1.21,0,1.44,0
"heavy_drinker",1.16,0.3381,1.35,0.0315
