"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"heart_attack",2.08,0.0805,1.26,0.6719
"coronary_heart_disease",1.8,0.1304,2.39,0.0335
"stroke",1.61,0.2059,1.96,0.1014
"asthma",1.07,0.7527,1.43,0.1014
"skin_cancer",0.86,0.5889,1.78,0.0401
"other_cancer",1.16,0.5324,1.57,0.0805
"copd",1.38,0.5149,3.74,0.002
"depressive_disorder",2.08,0,3.24,0
"kidney_disease",0.95,0.9187,1.02,0.9663
"diabetes_bin",1.31,0.2059,1.41,0.1462
"arthritis",1.32,0.0335,1.62,6e-04
"bmi_above_25",1.12,0.1014,1.12,0.1437
"fair_or_poor_general_health",1.84,0.0207,2.85,0
"i4_days_poor_physical_health",1.77,0.0805,2.56,0.002
"i4_days_poor_mental_health",1.84,0.0207,2.48,0.001
"current_smoker",1.79,0,1.98,0
"heavy_drinker",1.23,0.1767,1.66,0.0017
