"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"heart_attack",0.92,0.7665,1.73,0.0656
"coronary_heart_disease",0.97,0.9008,1.24,0.5765
"stroke",0.88,0.7665,1.38,0.3824
"asthma",1.15,0.5938,1.52,0.0557
"skin_cancer",1.59,0.0091,1.81,0.0081
"other_cancer",1.13,0.5927,1.54,0.0385
"copd",1.43,0.1764,2.02,0.026
"depressive_disorder",1.85,0.0028,3.24,0
"kidney_disease",0.7,0.2594,1.03,0.9008
"diabetes_bin",0.9,0.6495,1.11,0.7665
"arthritis",1.17,0.1736,1.5,7e-04
"bmi_above_25",0.99,0.7665,1.04,0.5476
"fair_or_poor_general_health",1.12,0.5938,1.96,7e-04
"i4_days_poor_physical_health",1.08,0.7665,2.07,0.0073
"i4_days_poor_mental_health",1.59,0.1466,3.11,0
"current_smoker",1.26,0.0214,1.53,0
"heavy_drinker",1.32,0.0979,1.3,0.1466
