"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"Heart Attack",0.72,"0.893",1.03,"0.979"
"Coronary Heart Disease",2.41,"0.66",2.27,"0.685"
"Stroke",0.1,"0.071",0.61,"0.875"
"Asthma",0.62,"0.875",0.92,"0.976"
"Skin Cancer",545582361.21,"<0.001",656147447.17,"<0.001"
"Other Cancer",1.02,"0.979",1.13,"0.929"
"COPD",1.39,"0.875",3.23,"0.685"
"Depressive Disorder",0.84,"0.875",1.18,"0.875"
"Kidney Disease",0,"<0.001",1.45,"0.885"
"Diabetes",0.8,"0.875",1.71,"0.685"
"Arthritis",0.65,"0.685",1.16,"0.875"
"BMI Above 25",0.93,"0.875",0.89,"0.685"
"Fair or Poor General Health",0.61,"0.685",1.35,"0.875"
"14+ Days Poor Physical Health",0.24,"0.396",0.31,"0.144"
"14+ Days Poor Mental Health",0.27,"0.315",1.58,"0.685"
"Current Smoker",1.64,"0.439",1.81,"0.315"
"Heavy Drinker",1.06,"0.976",1.35,"0.875"
