"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"Heart Attack",1507042521.9,"<0.001",1561060645.3,"<0.001"
"Coronary Heart Disease",724429706.56,"<0.001",230094461.35,"<0.001"
"Stroke",362577278.14,"<0.001",1598041155.35,"<0.001"
"Asthma",1.36,"0.71",3.1,"0.265"
"Skin Cancer",324198438,"<0.001",0.47,"0.634"
"Other Cancer",0.63,"0.716",7.22,"0.31"
"COPD",0.43,"0.634",3.97,"0.518"
"Depressive Disorder",2.44,"0.295",4.58,"0.024"
"Kidney Disease",0,"<0.001",0,"<0.001"
"Diabetes",1.82,"0.634",9.22,"0.186"
"Arthritis",1.32,"0.642",2,"0.31"
"BMI Above 25",0.95,"0.656",0.93,"0.634"
"Fair or Poor General Health",0.5,"0.424",1.82,"0.518"
"14+ Days Poor Physical Health",2.56,"0.424",3.92,"0.288"
"14+ Days Poor Mental Health",1.61,"0.634",3.89,"0.183"
"Current Smoker",0.73,"0.539",1.7,"0.237"
"Heavy Drinker",1.73,"0.479",1.87,"0.394"
