"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"Heart Attack",0,"<0.001",0.02,"0.004"
"Coronary Heart Disease",3.16,"0.449",2.09,"0.597"
"Stroke",0,"<0.001",0.03,"<0.001"
"Asthma",2.05,"0.449",1.05,"0.972"
"Skin Cancer",5.11,"0.186",0,"<0.001"
"Other Cancer",0,"<0.001",0,"<0.001"
"COPD",0.58,"0.709",151141.5,"<0.001"
"Depressive Disorder",1.47,"0.773",2.87,"0.397"
"Kidney Disease",0,"<0.001",18.24,"0.01"
"Diabetes",0.86,"0.908",1.84,"0.443"
"Arthritis",0.65,"0.816",1.44,"0.816"
"BMI Above 25",1.55,"0.175",2.07,"0.002"
"Fair or Poor General Health",1.54,"0.709",5.53,"0.038"
"14+ Days Poor Physical Health",4.46,"0.186",3.5,"0.338"
"14+ Days Poor Mental Health",2.04,"0.424",4.02,"0.06"
"Current Smoker",1.02,"0.972",1.61,"0.49"
"Heavy Drinker",3.71,"0.317",4.59,"0.118"
