"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"heart_attack",1.04,0.8413,1.68,0.0401
"coronary_heart_disease",1.12,0.5586,1.19,0.4598
"stroke",1.05,0.8415,0.8,0.4674
"asthma",1.34,0.0576,1.75,4e-04
"skin_cancer",1.57,4e-04,1.24,0.2104
"other_cancer",1.26,0.1267,1.38,0.0696
"copd",1.29,0.1869,2.13,0
"depressive_disorder",2.07,0,3.56,0
"kidney_disease",1.58,0.0884,1.75,0.0696
"diabetes_bin",0.85,0.2626,1.17,0.3817
"arthritis",1.23,0.0049,1.6,0
"bmi_above_25",1.02,0.7145,1.09,0.0699
"fair_or_poor_general_health",1.5,0.0262,1.77,0.002
"i4_days_poor_physical_health",1.18,0.3938,1.51,0.0401
"i4_days_poor_mental_health",1.56,0.0472,2.37,0
"current_smoker",1.23,0.0015,1.55,0
"heavy_drinker",1.16,0.3938,1.52,0.015
