"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"heart_attack",0.98,0.9414,1.08,0.6808
"coronary_heart_disease",1.27,0.1322,1.34,0.119
"stroke",1.13,0.6374,1.23,0.5048
"asthma",1.13,0.5048,1.44,0.0083
"skin_cancer",0.99,0.9414,1.07,0.7388
"other_cancer",0.9,0.5502,1.12,0.5976
"copd",1.64,0,1.79,0
"depressive_disorder",1.73,0,2.74,0
"kidney_disease",1.12,0.6505,1.18,0.6374
"diabetes_bin",1,0.9759,1.1,0.5502
"arthritis",1.03,0.6396,1.28,0
"bmi_above_25",0.96,0.3294,1.03,0.5502
"fair_or_poor_general_health",1.16,0.1029,1.22,0.0408
"i4_days_poor_physical_health",1.16,0.1834,1.39,0.0031
"i4_days_poor_mental_health",1.48,0.0019,2.28,0
"current_smoker",1.31,0,1.48,0
"heavy_drinker",1.32,0.1029,1.45,0.045
