"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"heart_attack",1.12,0.6702,1.39,0.1555
"coronary_heart_disease",1.06,0.8882,1.48,0.1377
"stroke",0.68,0.175,0.73,0.2902
"asthma",1.38,0.0491,1.67,5e-04
"skin_cancer",1.03,0.8882,1.24,0.2404
"other_cancer",1.05,0.8593,1.33,0.1366
"copd",1.03,0.9109,1.81,0.0043
"depressive_disorder",1.79,7e-04,3.71,0
"kidney_disease",1.62,0.1175,1.42,0.274
"diabetes_bin",1.13,0.4676,1.03,0.8882
"arthritis",1.16,0.0954,1.42,0
"bmi_above_25",1,0.9866,1.11,0.0085
"fair_or_poor_general_health",1.18,0.229,1.51,7e-04
"i4_days_poor_physical_health",1.14,0.4195,1.72,0
"i4_days_poor_mental_health",1.97,5e-04,3.71,0
"current_smoker",1.21,0.0162,1.63,0
"heavy_drinker",1.24,0.1714,1.6,7e-04
