"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"heart_attack",1.26,0.2415,1.43,0.1142
"coronary_heart_disease",1.38,0.1966,1.95,0.007
"stroke",1.17,0.6024,1.3,0.3745
"asthma",1.14,0.3289,1.45,0.0034
"skin_cancer",1.13,0.3745,1.07,0.6765
"other_cancer",0.99,0.9574,1.46,0.014
"copd",1.6,0.014,2.55,0
"depressive_disorder",1.87,0,3.37,0
"kidney_disease",1.29,0.3745,1.54,0.1462
"diabetes_bin",1,0.971,0.98,0.9551
"arthritis",1.25,0.002,1.58,0
"bmi_above_25",1.05,0.1522,1.07,0.0824
"fair_or_poor_general_health",1.42,0.0134,2.46,0
"i4_days_poor_physical_health",1.26,0.1462,1.81,0
"i4_days_poor_mental_health",2.11,0,3.99,0
"current_smoker",1.18,0.0034,1.63,0
"heavy_drinker",1.14,0.2279,1.36,0.0034
