"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"Heart Attack",1.04,0.927,0.93,"0.924"
"Coronary Heart Disease",0.69,0.701,0.77,"0.826"
"Stroke",2.07,0.424,0.92,"0.927"
"Asthma",1.54,0.598,1.65,"0.424"
"Skin Cancer",0.7,0.884,1.37,"0.921"
"Other Cancer",2.24,0.424,4.32,"0.031"
"COPD",1.02,0.973,2.12,"0.298"
"Depressive Disorder",0.48,0.298,1.69,"0.298"
"Kidney Disease",2.82,0.352,2.65,"0.352"
"Diabetes",0.94,0.924,1.41,"0.424"
"Arthritis",3.11,0.002,3.52,"<0.001"
"BMI Above 25",1.1,0.784,1.14,"0.424"
"Fair or Poor General Health",1.07,0.921,1.16,"0.826"
"14+ Days Poor Physical Health",0.83,0.884,0.89,"0.921"
"14+ Days Poor Mental Health",2.05,0.424,2.56,"0.37"
"Current Smoker",1.08,0.826,1.1,"0.784"
"Heavy Drinker",1.06,0.927,1.12,"0.921"
