"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"heart_attack",0.99,0.9586,1.92,0.0178
"coronary_heart_disease",1.09,0.8183,1.96,0.0285
"stroke",1.06,0.8372,2.01,0.0102
"asthma",1.22,0.1153,1.63,0
"skin_cancer",0.86,0.4004,0.92,0.7088
"other_cancer",1.08,0.7159,1.27,0.2361
"copd",1.26,0.3608,2.14,5e-04
"depressive_disorder",1.78,0,3.3,0
"kidney_disease",1.08,0.8331,1.41,0.4004
"diabetes_bin",1.15,0.3456,1.16,0.3682
"arthritis",1.32,7e-04,1.57,0
"bmi_above_25",1.05,0.2343,1.15,5e-04
"fair_or_poor_general_health",1.28,0.0791,2.44,0
"i4_days_poor_physical_health",1.17,0.4039,2.31,0
"i4_days_poor_mental_health",1.61,0.0059,2.67,0
"current_smoker",1.58,0,1.82,0
"heavy_drinker",1.76,0,1.97,0
